id;name;sizeclass;northsouthclass;area ;inhabitants;density;geometry
;;;;km2;n.;inh/km2;
E1;Aalborg;medium;north;1144;192000;168;
E2;Amsterdam;big;west;217;747290;3444;
E3;Antwerpen;medium;west;203;482456;2377;
E4;Augsburg;medium;west;147;267221;1818;
E5;Barcelona;big;south;102;1621537;15897;
E6;Bologna;medium;south;141;380181;2701;
E7;Bolzano;small;south;52;104029;2001;
E8;Bordeaux;medium;west;45;230000;5111;
E9;Bremen;big;west;326;547685;1680;
E10;Bristol;medium;west;110;433100;3937;
E11;Bydgoszcz;medium;east;176;356637;2026;
E12;Chrudim;small;east;33;22950;695;
E13;Dresden;big;west;328;511138;1558;
E14;Dublin;big;west;115;506211;4402;
E15;Faro;small;south;204;58675;288;
E16;Ferrara;small;south;404;135369;335;
E17;Firenze;medium;south;102;371282;3625;
E18;Genova;big;south;244;609822;2499;
E19;Glasgow;big;west;174;584240;3358;
E20;Granada;medium;south;88;234325;2663;
E21;Granollers;small;south;15;60012;4001;
E22;Helsingborg;small;north;345;123000;357;
E23;Helsinki;big;north;214;588941;2755;
E24;Knurow;small;east;33;38706;1173;
E25;Kobenhavn;big;north;90;528208;5869;
E26;Kuopio;small;north;2320;96800;42;
E27;Leicester;medium;west;73;304700;4174;
E28;Liepaja;small;east;64;83415;1303;
E29;Münster ;medium;west;303;282718;933;
E30;Nantes;big;west;534;580502;1087;
E31;Napoli;big;south;117;959574;8201;
E32;Nuremberg;big;west;186;503673;2702;
E33;Odense;medium;north;304;190245;626;
E34;Oeiras;medium;south;46;172778;3756;
E35;Parma;medium;south;261;184467;707;
E36;Plymouth;medium;west;79;252800;3200;
E37;Porto ;medium;south;42;221800;5281;
E38;Poznań;big;east;262;554200;2115;
E39;Praha;big;east;496;1249026;2518;
E40;Ravenna;small;south;652;155548;239;
E41;Rotterdam;big;west;322;592939;1841;
E42;Sfintu Gheorghe;small;east;73;54.312;853;
E43;Sheffield;big;west;368;547000;1486;
E44;Stockholm;big;north;188;847073;4506;
E45;Timisoara;medium;east;129;311428;2409;
E46;Torino;big;south;130;907563;6981;
E47;Turku;medium;north;305;178000;584;
E48;Valjevo;small;east;905;96761;107;
E49;Vantaa;medium;north;240;197636;822;
E50;Vaxjo;small;north;1924;83005;43;
E51;Vitoria Gasteiz;medium;south;276;240580;872;
E52;Vranje;small;east;860;87288;101;
E53;Zaragoza ;big;south;967;700808;725;
