id_combustibile;descrizione
101;carbone da vapore
102;carbone per cokeria
103;coke da carbone
104;coke da petrolio
105;coke da gas
106;carbone da legna
107;lignite
108;torba
109;legna e similari
110;combustibili da rifiuti
111;farine animali
112;grassi animali
113;residui animali
114;residui peciosi
115;rifiuti di legna
116;rifiuti industriali
117;rifiuti solidi urbani (CDR)
118;rifiuti agricoli
119;argille petrolifere (oil shale)
120;altri combustibili solidi
201;benzina con piombo per autotrasporto
202;benzina senza piombo per autotrasporto
203;benzina ULS per autotrasporto
204;gasolio
205;gasolio per autotrasporto (diesel)
206;gasolio ULS
207;gasolio ULS per autotrasporto (diesel)
208;gasolio emulsionato
209;gasolio emulsionato per autotrasporto (diesel)
210;gasolio ULS emulsionato
211;gasolio ULS emulsionato per autotrasporto (diesel)
212;biodiesel 30%
213;biodiesel 100%
214;kerosene
215;nafta
216;olio combustibile ATZ
217;olio combustibile BTZ
218;olio residuo
219;emulsione olio combustibile BTZ - acqua
220;miscela olio combustibile BTZ - biodiesel
221;distillati leggeri
222;jet fuel
223;benzina per aviazione
224;bitoil (bitume di coke o CAV)
225;olio da argille (oil shale)
226;solventi di scarto
227;lubrificanti
228;bio-alcoli
229;combustibile liquido non convenzionale
230;altri combustibili liquidi
301;gas di raffineria
302;gas miscelato
303;gas di cokeria
304;gas di altoforno
305;gas naturale (metano)
306;gas naturale liquefatto
307;gas petrolio liquido (GPL)
308;biogas (gas da depositi di rifiuti)
309;gas da rifiuti industriali
310;idrogeno
311;altri combustibili gassosi
999;senza combustibile
